city,date,longitude,latitude,population,AQI,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),elevation
Beijing,1/1/2022,116.4074,39.9042,21516000,4.111111111,769.5627778,10.76611111,50.61055556,26.11888889,44.98055556,47.48611111,77.52277778,15.82611111,-2.344444444,31.16666667,0,0,0,0,0,0,6.577777778,17.82777778,256.9444444,150.1111111,19.72222222,47
Beijing,1/2/2022,116.4074,39.9042,21516000,5,3797.37125,185.6133333,101.4758333,4.031666667,231.8220833,290.4195833,356.3433333,41.85708333,-3.345833333,40.375,0,0,19.58333333,0,14.54166667,36.08333333,6.508333333,9.2375,203.3333333,227.125,13.29166667,47
Beijing,1/3/2022,116.4074,39.9042,21516000,5,3721.157083,221.4495833,107.50125,4.019583333,195.86125,298.4908333,379.0083333,57.51416667,-1.970833333,40.66666667,0,0,0,0,0,0,6.1375,8.570833333,98.08333333,92.04166667,10.69583333,47
Beijing,1/4/2022,116.4074,39.9042,21516000,5,4896.64125,301.5995833,110.5008333,1.786666667,232.2204167,399.9041667,483.4354167,57.07083333,-2.754166667,59.41666667,0,0,1.583333333,0.291666667,0,4.375,6.041666667,8.458333333,95.83333333,187.7083333,10.78333333,47
Beijing,1/5/2022,116.4074,39.9042,21516000,5,5174.79625,334.3454167,133.66375,2.645416667,298.6591667,444.6870833,550.60125,63.72083333,-3.166666667,71.875,0,0,2.625,2.833333333,0,0.416666667,4.258333333,5.820833333,158.4583333,159.0416667,9.1875,47
Beijing,1/6/2022,116.4074,39.9042,21516000,5,5684.9325,351.145,125.5520833,3.05125,263.3720833,481.845,589.6016667,60.15333333,-1.891666667,52.25,0,0,0.666666667,0,1.083333333,0,4.383333333,6.304166667,184.4166667,241.0416667,9.345833333,47
Beijing,1/7/2022,116.4074,39.9042,21516000,5,7523.536667,471.32375,214.37625,0.879583333,402.1729167,677.8629167,831.2158333,64.04791667,-2.158333333,68.25,0,0,0.541666667,0,0.833333333,0,4.625,7.825,202.4166667,214.75,11.05833333,47
Beijing,1/8/2022,116.4074,39.9042,21516000,4.875,2697.267917,137.5654167,86.82458333,11.29791667,128.2491667,216.5875,264.445,36.53333333,-0.1875,51.83333333,0,0,11.70833333,5.375,2.291666667,18,7.2875,12.12083333,90.83333333,123.7916667,12.8125,47
Beijing,1/9/2022,116.4074,39.9042,21516000,5,3876.369167,222.9395833,106.1308333,0.002916667,203.31125,330.5816667,392.0658333,46.48416667,-2.1375,80.375,0,0,68.54166667,45.625,41.16666667,51.79166667,5.7625,9.379166667,147.7083333,160.1666667,11.9,47
Beijing,1/10/2022,116.4074,39.9042,21516000,4.25,1350.442083,44.05541667,59.98375,16.97916667,82.26416667,91.2075,114.09375,19.80791667,-4.016666667,26.70833333,0,0,0.791666667,0.083333333,1.166666667,0,10.02916667,17.35833333,112.6666667,118,19.7125,47
Beijing,1/11/2022,116.4074,39.9042,21516000,5,4914.999583,291.2058333,112.8708333,2.63125,297.3075,388.1241667,469.5979167,54.79125,-4.770833333,32.54166667,0,0,11.33333333,0.916666667,8.5,17.875,5.458333333,7.620833333,162.75,158.6666667,11.62083333,47
Beijing,1/12/2022,116.4074,39.9042,21516000,4.208333333,1346.825417,54.08958333,60.79083333,13.12708333,81.65875,87.70958333,113.1345833,20.68166667,-3.904166667,26.58333333,0,0,17.875,0.333333333,22.41666667,13.625,9.983333333,17.42083333,123.8333333,118.5416667,19.04583333,47
Beijing,1/13/2022,116.4074,39.9042,21516000,4.958333333,3489.17625,172.3504167,91.165,5.14125,253.12125,269.6045833,344.57625,26.76,-3.1375,38.625,0,0,1.416666667,0,0,4.666666667,6.275,13.92083333,236,210.5416667,13.3375,47
Beijing,1/14/2022,116.4074,39.9042,21516000,5,7896.265,485.4058333,203.6933333,1.32625,501.0366667,692.5004167,842.9933333,70.655,-3.245833333,64.875,0,0,11.375,0,6.375,24.5,5.3125,9.308333333,271.125,246.0416667,11.025,47
Beijing,1/15/2022,116.4074,39.9042,21516000,2.75,629.7425,9.267083333,35.53708333,44.575,32.69208333,33.78041667,53.64791667,12.18791667,-3.295833333,28.45833333,0,0,0.25,0,0.166666667,0.5,12.12916667,21.55833333,91.58333333,87.75,22.68333333,47
Beijing,1/16/2022,116.4074,39.9042,21516000,5,4450.48125,238.66125,115.9558333,3.535,298.0033333,344.8441667,422.12,43.86166667,-4.916666667,36.875,0,0,1.916666667,0,3.25,0,5.2375,7.229166667,208.0833333,205.3333333,12.375,47
Beijing,1/17/2022,116.4074,39.9042,21516000,5,3249.406667,149.1783333,100.1625,5.624583333,262.2216667,248.84125,317.86375,28.04541667,-3.316666667,44.45833333,0,0,0.208333333,0,0,0.666666667,6.1375,10.99166667,236.0416667,245.2916667,13.275,47
Beijing,1/18/2022,116.4074,39.9042,21516000,5,4922.23,314.52625,137.29125,2.329583333,314.7925,418.7225,503.6691667,57.85291667,-2.958333333,59.625,0,0,11.33333333,7.375,3.083333333,9.041666667,5.4375,8.166666667,191.125,205.7083333,11,47
Beijing,1/19/2022,116.4074,39.9042,21516000,5,1994.37125,109.0204167,81.88291667,2.924166667,216.24625,136.9966667,174.6420833,20.4625,-4.420833333,50.16666667,0,0,74.83333333,61.875,31.25,3.625,7.133333333,11.8125,293.6666667,288.25,15.5625,47
Beijing,1/20/2022,116.4074,39.9042,21516000,5,3004.63,156.6670833,94.6775,1.091666667,265.7570833,217.31,273.9120833,22.92208333,-4.525,56.41666667,0,0,88.66666667,87.04166667,18.16666667,0,6.258333333,9.95,313.2083333,292.875,13.14583333,47
Beijing,1/21/2022,116.4074,39.9042,21516000,5,2813.259583,146.4779167,91.3375,0.648333333,264.5658333,205.8079167,250.0720833,17.55916667,-3.4125,72.625,0.145833333,0,100,93.95833333,80.16666667,79.08333333,4.5625,7.195833333,206.875,225.75,9.816666667,47
Beijing,1/22/2022,116.4074,39.9042,21516000,5,3599.8825,248.2525,103.0179167,0.67375,262.1404167,279.6691667,333.5170833,46.01541667,-3.208333333,74,0.008333333,0,71.41666667,69.04166667,23.5,26.20833333,3.7375,3.566666667,136.6666667,117.4583333,7.5875,47
Beijing,1/23/2022,116.4074,39.9042,21516000,5,2937.32,184.18,81.57,0,144.96,221.15,274.73,63.33,-5.6,80,0,0,83,79,19,0,3.4,6.6,58,9,4.7,47
Beijing,1/24/2022,116.4074,39.9042,21516000,5,7043.755217,401.7095652,136.7630435,0.775217391,375.1678261,569.4591304,693.2765217,46.02217391,-1.747826087,75.47826087,0,0,44.43478261,16.60869565,34.04347826,30.13043478,4.282608696,5.708695652,219.173913,212.7391304,10.88695652,47
Beijing,1/25/2022,116.4074,39.9042,21516000,4.083333333,1979.0725,94.13833333,73.81583333,16.24791667,87.30208333,140.9016667,178.8070833,25.17708333,-1.933333333,38.83333333,0,0,12.29166667,0,11.45833333,18.04166667,9.595833333,18.85416667,111.3333333,105,18.45833333,47
Beijing,1/26/2022,116.4074,39.9042,21516000,4.75,3675.817917,204.3466667,93.29375,7.670833333,185.15125,291.2158333,360.1629167,37.84291667,-3.541666667,39.33333333,0,0,31.54166667,0,30.54166667,44.04166667,7.225,11.86666667,114.2083333,115.6666667,14.5625,47
Beijing,1/27/2022,116.4074,39.9042,21516000,4.583333333,2949,157.4683333,88.29583333,9.709166667,153.6604167,226.8983333,276.1720833,30.99041667,-4.0875,36.33333333,0,0,4.125,0,0.166666667,13.25,7.4,12.53333333,114.4583333,111.4166667,13.90416667,47
Beijing,1/28/2022,116.4074,39.9042,21516000,5,3719.4875,207.5541667,111.1575,3.203333333,233.8091667,301.7008333,381.47,41.20625,-4.1,40.375,0,0,11.45833333,0,0,37.91666667,5.7375,9.6,145.125,137.75,11.69166667,47
Beijing,1/29/2022,116.4074,39.9042,21516000,4.916666667,4666.884583,259.8025,108.27375,6.87875,226.4583333,367.4358333,460.4545833,46.99041667,-2.704166667,41,0,0,0,0,0,0,4.595833333,6.495833333,146.3333333,219.375,10.8625,47
Beijing,1/30/2022,116.4074,39.9042,21516000,4.416666667,3797.23375,197.3816667,102.7529167,13.08541667,201.92125,338.6583333,400.0133333,33.5125,-1.4375,51.25,0.05,0,39.58333333,20.70833333,35.91666667,4.5,7.879166667,14.78333333,204.2916667,200.0416667,17.775,47
Beijing,1/31/2022,116.4074,39.9042,21516000,2.083333333,489.8308333,2.339166667,30.77375,53.38208333,36.4875,15.47666667,21.63791667,5.439583333,-3.9625,26.41666667,0,0,12.29166667,0.208333333,20.16666667,0,14.92916667,25.675,116.3333333,115.7083333,29.41666667,47
Beijing,2/1/2022,116.4074,39.9042,21516000,4.75,2980.152083,159.5116667,103.1179167,10.24125,227.45,228.22,299.145,82.46125,-4.704166667,36.125,0,0,0,0,0,0,5.616666667,9.391666667,162.2916667,157.5,13.3375,47
Beijing,2/2/2022,116.4074,39.9042,21516000,4.875,3614.902083,214.9579167,112.9854167,9.264166667,204.5029167,275.9320833,352.22375,97.71875,-3.683333333,33.375,0,0,0,0,0,0,5.133333333,13.25,355.5416667,195.5,13.95,47
Beijing,2/3/2022,116.4074,39.9042,21516000,4.208333333,1245.299583,49.51625,69.1025,21.64333333,75.91666667,79.67916667,102.0875,50.1825,-3.8625,29.5,0,0,1.208333333,0,0.166666667,3.541666667,8.833333333,15.84166667,81.75,80.08333333,18.07916667,47
Beijing,2/4/2022,116.4074,39.9042,21516000,4.041666667,1392.4425,49.98083333,78.65625,24.86833333,81.77666667,91.70333333,114.6195833,38.42416667,-4.825,26.70833333,0,0,0,0,0,0,11.47916667,18.01666667,108.375,111.25,20.93333333,47
Beijing,2/5/2022,116.4074,39.9042,21516000,4.375,1246.413333,37.20625,75.38583333,18.84,79.67166667,80.25708333,99.94208333,32.84166667,-2.95,32.33333333,0,0,5.875,0,0.083333333,19.54166667,8.995833333,15.57083333,144.5,139.7083333,17.3875,47
Beijing,2/6/2022,116.4074,39.9042,21516000,4.458333333,1650.850417,65.68666667,80.38416667,14.99083333,100.1954167,116.89875,150.2083333,54.23208333,-1.9,37.66666667,0,0,22.41666667,0,0.208333333,74.16666667,7.316666667,13.6625,143.6666667,139.0833333,14.52083333,47
Beijing,2/7/2022,116.4074,39.9042,21516000,4.833333333,3685.553333,212.16375,109.8154167,10.09583333,231.2654167,287.6108333,364.1970833,89.25333333,-2.345833333,39,0,0,37.04166667,0,33.58333333,56.04166667,5.733333333,9.104166667,143.4166667,145.1666667,12.2125,47
Beijing,2/8/2022,116.4074,39.9042,21516000,5,5323.886667,320.26375,139.6329167,4.3025,344.9920833,427.4820833,538.2120833,110.785,-0.816666667,39.5,0,0,4.625,0,5.166666667,4.791666667,5.220833333,8.316666667,169.125,216.5416667,11.65,47
Beijing,2/9/2022,116.4074,39.9042,21516000,5,6585.597917,425.50375,187.12875,3.110416667,372.0133333,623.1045833,758.5575,137.3204167,-0.854166667,56.16666667,0,0,7.875,0,13.04166667,0,4.241666667,5.054166667,170.2083333,168,10.46666667,47
Beijing,2/10/2022,116.4074,39.9042,21516000,5,5221.525833,275.3366667,170.1066667,3.690416667,313.8779167,495.46,597.3875,91.215,0.416666667,51.91666667,0,0,6.833333333,0,0.083333333,22.79166667,6.920833333,11.92083333,189.625,181.75,14.225,47
Beijing,2/11/2022,116.4074,39.9042,21516000,4.875,3431.598333,216.6154167,116.0704167,9.595416667,158.21,279.1158333,332.6266667,53.07083333,0.941666667,50.75,0,0,46.83333333,11.91666667,30.04166667,60.33333333,7.783333333,13.21666667,144.5833333,221.125,14.7625,47
Beijing,2/12/2022,116.4074,39.9042,21516000,5,2401.590833,146.3283333,95.64958333,0.963333333,160.2166667,188.3820833,227.1583333,57.32416667,-2.454166667,67.125,0.020833333,0,73.79166667,25.91666667,59.91666667,84.79166667,4.745833333,7.545833333,164.3333333,179.6666667,11.2875,47
Beijing,2/13/2022,116.4074,39.9042,21516000,4.791666667,1670.877917,80.19958333,72.43,2.80125,141.9779167,113.5941667,132.7158333,28.4875,-5.408333333,59.58333333,0.154166667,0,66.08333333,56.45833333,55,35.04166667,7.745833333,12.59166667,236.0833333,237.75,18.0125,47
Beijing,2/14/2022,116.4074,39.9042,21516000,3.083333333,621.5375,8.026666667,47.79041667,28.1025,50.8725,26.76541667,36.39208333,23.48,-6.145833333,23.04166667,0,0,6.041666667,0,10.125,0,10.95416667,18.45416667,82.66666667,83.41666667,21.625,47
Beijing,2/15/2022,116.4074,39.9042,21516000,4.666666667,2807.140417,160.8116667,95.8775,12.56291667,202.3775,217.43625,259.2541667,62.89708333,-7.0125,30,0,0,14,0.75,21.04166667,1.791666667,6.483333333,10.95833333,141.625,136.0833333,15.13333333,47
Beijing,2/16/2022,116.4074,39.9042,21516000,4.833333333,5297.184583,304.92375,143.60375,12.00833333,318.4075,397.3275,476.4408333,88.8725,-5.541666667,28.375,0,0,17.66666667,0,17.41666667,23.95833333,7.083333333,11.93333333,130.625,107.2916667,14.35833333,47
Beijing,2/17/2022,116.4074,39.9042,21516000,5,2615.212917,131.1304167,105.3608333,6.077916667,240.5641667,190.1504167,239.8820833,68.62875,-4.825,37.41666667,0,0,59.5,0.625,64.16666667,67.95833333,7.495833333,11.81666667,245.9166667,255.125,16.00833333,47
Beijing,2/18/2022,116.4074,39.9042,21516000,3.791666667,1677.830833,87.72875,73.98708333,26.64958333,122.0791667,117.3625,147.2854167,46.41125,-2.6625,24.625,0,0,23.875,0.125,21.20833333,36.79166667,10.26666667,19.27083333,124.0833333,122.5,20.5,47
Beijing,2/19/2022,116.4074,39.9042,21516000,4.208333333,1428.464583,52.65916667,74.44958333,22.47208333,79.00541667,98.945,125.90875,55.20291667,-4.2875,21.54166667,0,0,12.20833333,0,20.41666667,0,10.22083333,15.7625,139.4166667,147.2916667,19.05416667,47
Beijing,2/20/2022,116.4074,39.9042,21516000,5,4379.27,250.34,111.04,0.31,263.21,364.35,438.96,143.89,-8.7,34,0,0,0,0,0,0,2.8,2.2,130,180,9,47
Beijing,2/21/2022,116.4074,39.9042,21516000,4.173913043,1361.266957,50.65521739,66.81695652,18.58217391,88.94043478,90.80434783,114.6978261,43.70608696,-2.052173913,26.04347826,0,0,10.73913043,0,17.95652174,0,10.01304348,17.1826087,114.5652174,116.6086957,20.4,47
Beijing,2/22/2022,116.4074,39.9042,21516000,4.541666667,2541.780417,129.8725,91.37916667,15.06958333,154.8929167,194.2608333,247.6725,85.64791667,-2.566666667,30.95833333,0,0,0,0,0,0,6.670833333,9.345833333,119,100.75,15.27916667,47
Beijing,2/23/2022,116.4074,39.9042,21516000,5,3906.965,223.555,124.9816667,7.122083333,317.335,312.3170833,400.9266667,104.8216667,-1.370833333,37.66666667,0,0,1,0,1.625,0.083333333,4.804166667,7.9125,175.125,170.2916667,12.19166667,47
Beijing,2/24/2022,116.4074,39.9042,21516000,5,5566.4375,331.1033333,150.7141667,5.2175,308.8320833,488.3329167,606.4879167,101.5075,0.975,50,0,0,0,0,0,0,4.9,8.020833333,184.125,186.5,12.1375,47
Beijing,2/25/2022,116.4074,39.9042,21516000,4.75,4384.835417,249.3820833,151.7716667,18.99208333,220.4591667,408.7883333,498.22375,59.93166667,3.316666667,50.41666667,0,0,1.958333333,0,0.166666667,5.958333333,9.420833333,18.53333333,178.125,176.2083333,19.35,47
Beijing,2/26/2022,116.4074,39.9042,21516000,4.083333333,2073.08875,85.95208333,80.44791667,24.87916667,124.2354167,151.0420833,198.6554167,43.93375,2.325,38.79166667,0,0,0,0,0,0,9.629166667,16.2,185.3333333,185.7083333,18.27916667,47
Beijing,2/27/2022,116.4074,39.9042,21516000,5,3963.153333,229.8129167,113.0995833,4.754583333,188.2708333,342.2616667,415.59625,65.54625,4.5875,52.08333333,0,0,27,0,17.54166667,54.75,6.8125,10.45833333,156.6666667,215.625,13.22916667,47
Beijing,2/28/2022,116.4074,39.9042,21516000,3.375,1470.882917,72.23375,75.7,28.02708333,123.34125,146.9004167,179.0254167,26.56666667,3.979166667,43.95833333,0,0,21.91666667,0,21,31.125,11.825,21.74583333,135.7916667,132.375,22.775,47
Beijing,3/1/2022,116.4074,39.9042,21516000,4.458333333,1628.5975,68.90333333,72.55875,16.17666667,121.355,112.8208333,151.0154167,42.41583333,2.220833333,40.75,0,0,0,0,0,0,9.791666667,16.85,202.1666667,202.7916667,18.93333333,47
Beijing,3/2/2022,116.4074,39.9042,21516000,4.833333333,2537.329167,155.34125,85.01041667,13.52791667,133.9320833,192.77125,265.6920833,82.825,4.854166667,37.16666667,0,0,0.083333333,0.041666667,0.083333333,0,7.645833333,12.39166667,125,140.0833333,14.7375,47
Beijing,3/3/2022,116.4074,39.9042,21516000,4.916666667,3133.972917,232.7004167,107.0745833,8.99125,162.0858333,252.3691667,323.19625,118.0891667,2.791666667,57.70833333,0,0,2.375,0.208333333,3.583333333,0.041666667,5.083333333,7.420833333,139.5,205.8333333,12.01666667,47
Beijing,3/4/2022,116.4074,39.9042,21516000,4.166666667,1313.309167,49.32416667,69.4525,27.26833333,71.71,93.69416667,166.9820833,43.46333333,2.5125,29.41666667,0,0,0,0,0,0,14.975,24.45,146.2916667,132.25,29.55833333,47
Beijing,3/5/2022,116.4074,39.9042,21516000,4.5,1821.915833,109.88625,78.79125,20.20041667,89.42708333,126.7791667,172.3920833,116.8129167,2.358333333,30.16666667,0,0,0.041666667,0,0.041666667,0,7.925,11.57916667,120.25,152.25,15.3,47
Beijing,3/6/2022,116.4074,39.9042,21516000,5,2306.1825,133.8129167,96.59166667,11.16625,125.1683333,185.4516667,239.54,123.6945833,1.916666667,50.33333333,0,0,5.125,0,3.708333333,9.75,7.408333333,11.52916667,198,226.0416667,15.75416667,47
Beijing,3/7/2022,116.4074,39.9042,21516000,5,2513.965833,125.785,104.44625,10.44083333,190.0191667,196.40875,259.5516667,58.63375,6.079166667,45.70833333,0,0,1.291666667,0,0,4.166666667,6.370833333,12.025,193.9166667,223.3333333,13.00833333,47
Beijing,3/8/2022,116.4074,39.9042,21516000,5,4666.885,358.33625,146.9733333,5.33625,225.485,440.5583333,533.9483333,130.0375,6.170833333,61.5,0,0,5.083333333,0,1.791666667,13.08333333,5.179166667,6.4,166.2083333,164.4166667,10.7375,47
Beijing,3/9/2022,116.4074,39.9042,21516000,5,4100.005,270.32625,112.8429167,5.705,143.8458333,442.63875,528.4454167,53.55708333,8.3375,65.91666667,0,0,27.16666667,0,11.75,66.875,5.808333333,8.608333333,190.375,219.625,12.1125,47
Beijing,3/10/2022,116.4074,39.9042,21516000,5,3002.405417,182.7066667,115.3270833,6.255,112.285,555.5145833,644.0141667,33.01583333,10.25,72.04166667,0,0,10,1.75,3.958333333,20.33333333,5.704166667,9.275,136.0416667,126.6666667,12.16666667,47
Beijing,3/11/2022,116.4074,39.9042,21516000,4.75,1341.542083,60.46208333,85.88125,0.075416667,118.5333333,126.1333333,151.1679167,36.16208333,8.583333333,56.08333333,0.133333333,0.133333333,81.75,11.16666667,80.25,80.5,5.625,9.116666667,223.9583333,273.9166667,10.50416667,47
Beijing,3/12/2022,116.4074,39.9042,21516000,5,3234.386667,193.2491667,110.24375,10.09833333,147.8591667,324.715,385.4908333,34.52041667,7.2,75.91666667,0.083333333,0.083333333,33.45833333,6.666666667,22.16666667,59.08333333,5.254166667,8.516666667,176.5833333,178.7083333,11.56666667,47
Beijing,3/13/2022,116.4074,39.9042,21516000,4.916666667,1400.789167,53.23458333,77.76958333,6.169166667,102.32125,109.76125,130.92875,25.945,7.245833333,70.5,0.054166667,0.054166667,60,36.375,31.75,37.79166667,8.604166667,13.51666667,263.7083333,262.375,17.64583333,47
Beijing,3/14/2022,116.4074,39.9042,21516000,4.5,1315.25625,44.15041667,85.05375,20.45708333,106.7125,94.615,121.40875,27.24791667,9.566666667,54.83333333,0,0,14.66666667,3.333333333,12.58333333,13.79166667,9.104166667,17.28333333,197.875,208.1666667,21.29166667,47
Beijing,3/15/2022,116.4074,39.9042,21516000,5,2431.075,134.0545833,99.13375,10.44416667,145.8916667,240.7066667,315.4675,47.88708333,9.191666667,65,0,0,15.75,2,16.25,13.66666667,6.275,11,182.1666667,188.9583333,14.7875,47
Beijing,3/16/2022,116.4074,39.9042,21516000,4.5,1091.75875,37.82916667,77.6275,10.48458333,116.6275,61.62333333,83.43708333,31.89791667,6.8375,42.83333333,0,0,64.875,24.91666667,38.95833333,91.83333333,8.3375,14.40833333,287,286.4583333,17.40416667,47
Beijing,3/17/2022,116.4074,39.9042,21516000,4.916666667,2138.177917,109.65375,88.70791667,5.9375,205.0404167,147.8529167,175.4629167,39.89833333,-0.420833333,61.79166667,0.108333333,0,89.33333333,30.41666667,71.125,72.95833333,5.6,7.733333333,285.6666667,306.0416667,11.38333333,47
Beijing,3/18/2022,116.4074,39.9042,21516000,4.916666667,2467.234583,163.0183333,97.22083333,0.55125,188.9070833,178.6879167,217.1245833,85.6225,-0.945833333,77.91666667,0.175,0.0125,64.41666667,48.125,56.875,39,6.6,10.15,171.1666667,158.8333333,14.21666667,47
Beijing,3/19/2022,116.4074,39.9042,21516000,4.458333333,1717.885,74.18041667,90.86541667,19.21291667,127.8125,116.0570833,146.63875,60.0475,1.941666667,48.91666667,0,0,27.04166667,0,23.70833333,42.58333333,6.3,10.4375,236.0416667,223.7083333,14.85833333,47
Beijing,3/20/2022,116.4074,39.9042,21516000,5,1906.196667,78.25416667,94.30666667,16.48416667,147.18375,170.3445833,211.40875,78.73875,3.508333333,58,0,0,13.29166667,0.208333333,14.125,15.16666667,7.7625,12.95416667,213.3333333,211.8333333,17.70416667,47
Beijing,3/21/2022,116.4074,39.9042,21516000,4.041666667,1080.910417,41.22625,63.86166667,26.10083333,58.27333333,61.10625,82.93416667,76.20666667,3.7125,41.33333333,0,0,11.66666667,0,11.125,16.33333333,8.379166667,12.85416667,98.70833333,88.625,14.50833333,47
Beijing,3/22/2022,116.4074,39.9042,21516000,4.833333333,2612.989167,136.7,102.8466667,10.44833333,169.5154167,217.1508333,267.1016667,92.515,3.975,52.04166667,0.008333333,0.008333333,36.83333333,3.375,35.04166667,42.625,5.533333333,8.075,222.9166667,259.1666667,14.61666667,47
Beijing,3/23/2022,116.4074,39.9042,21516000,5,4626.27375,350.1775,141.0891667,2.381666667,184.8933333,481.76375,553.9379167,45.05375,5.295833333,75.70833333,0.095833333,0.095833333,21.66666667,0.583333333,21.29166667,27.95833333,5.104166667,6.729166667,139.375,188.875,11.94583333,47
Beijing,3/24/2022,116.4074,39.9042,21516000,5,3407.955,232.7008333,108.7583333,0.417083333,113.0895833,383.3029167,447.12125,22.985,7.633333333,82.41666667,0,0,76.04166667,47.91666667,48.125,91.70833333,5.983333333,10.95416667,161.125,155.9583333,13.26666667,47
Beijing,3/25/2022,116.4074,39.9042,21516000,4.833333333,2330.939167,157.0679167,89.53708333,12.17958333,91.65125,174.0633333,243.17125,50.72708333,6.525,51.70833333,0,0,32.91666667,0,17.5,74.70833333,10.15416667,18.89583333,115.0416667,107.5833333,17.24583333,47
Beijing,3/26/2022,116.4074,39.9042,21516000,3.541666667,698.5858333,23.40208333,41.74791667,54.82666667,50.76375,42.1075,94.36625,31.85583333,9.45,27.75,0,0,8.625,0,12.70833333,3.25,12.16666667,22.29583333,149.1666667,146.3333333,26.59583333,47
Beijing,3/27/2022,116.4074,39.9042,21516000,4.375,1015.265833,21.96666667,77.14875,25.06916667,99.09333333,57.75625,87.13583333,25.12625,7.520833333,33.125,0,0,0,0,0,0,9.595833333,18.65416667,232,224,20.59166667,47
Beijing,3/28/2022,116.4074,39.9042,21516000,5,1206.35875,28.53291667,80.09833333,39.36916667,151.2770833,109.885,141.74375,26.30916667,10.57083333,45.33333333,0.008333333,0.008333333,23.29166667,3.041666667,7.375,54,12.27916667,22.68333333,277.9166667,268.2083333,24.83333333,47
Beijing,3/29/2022,116.4074,39.9042,21516000,4.791666667,2435.247083,137.4525,99.37625,3.388333333,155.0308333,249.5804167,285.8041667,27.83458333,8.329166667,85.625,0.220833333,0.220833333,83.54166667,31.45833333,71.625,57.25,5.2,9.4375,107.9166667,93.70833333,10.65833333,47
Beijing,3/30/2022,116.4074,39.9042,21516000,4.833333333,3021.597917,204.5104167,90.85083333,1.745,129.4216667,226.6483333,278.8529167,53.38708333,6.579166667,66,0,0,56.83333333,36.66666667,45.04166667,10.66666667,6.2,9.254166667,203.7083333,204.3333333,13.9625,47
Beijing,3/31/2022,116.4074,39.9042,21516000,4.208333333,1489.382083,72.81833333,66.78916667,26.31708333,60.71291667,97.27,125.5670833,64.87041667,5.966666667,40.125,0,0,0,0,0,0,11.325,18.25833333,103.5416667,92.08333333,21.52916667,47
Beijing,4/1/2022,116.4074,39.9042,21516000,5,2683.9175,190.5008333,112.2154167,13.46125,126.9683333,203.70875,246.27625,54.59583333,7,52,0.008333333,0.008333333,32.375,0,31.29166667,45.08333333,6.6375,11.03333333,170.4583333,171.9583333,15.325,47
Beijing,4/2/2022,116.4074,39.9042,21516000,4.375,1395.642083,74.43583333,84.5675,22.3625,100.7808333,84.89375,113.8133333,48.32166667,9.520833333,36.875,0,0,1.333333333,0,0.25,3.75,6.9625,13.70833333,194.2083333,192.4583333,14.87083333,47
Beijing,4/3/2022,116.4074,39.9042,21516000,4.833333333,1587.014167,70.48125,93.80666667,36.63125,131.23,134.8675,168.6333333,43.51708333,11.95416667,39.95833333,0,0,2.041666667,0,0.125,6.583333333,9.666666667,17.76666667,270.4583333,256.6666667,19.075,47
Beijing,4/4/2022,116.4074,39.9042,21516000,5,2629.121667,113.3620833,134.8920833,28.98041667,161.13125,352.89875,412.4891667,36.04083333,12.65416667,62.95833333,0,0,6.958333333,0,0.208333333,22.33333333,8.125,12.8875,218.9583333,211.5416667,16.82083333,47
Beijing,4/5/2022,116.4074,39.9042,21516000,3.958333333,1423.180833,58.53583333,74.39291667,30.62916667,66.63916667,123.1254167,152.3620833,27.45875,14.43333333,37.95833333,0,0,8,0,4,18.41666667,8.783333333,15.05,174.3333333,186.125,20.0875,47
Beijing,4/6/2022,116.4074,39.9042,21516000,4.5,1675.88375,90.6925,81.04083333,20.86875,146.9054167,105.8354167,140.1695833,29.69208333,7.258333333,37.91666667,0,0,9.458333333,0.375,9.75,10.79166667,8.654166667,13.90833333,255.75,258.5416667,18.40416667,47
Beijing,4/7/2022,116.4074,39.9042,21516000,5,1893.679167,90.03958333,114.5866667,11.48291667,217.7958333,173.4783333,218.06125,35.49041667,12.39166667,52.41666667,0,0,7.916666667,0,0,26.29166667,6.741666667,11.25833333,122.5833333,223.8333333,14.87083333,47
Beijing,4/8/2022,116.4074,39.9042,21516000,5,3089.19,123.1491667,157.39625,18.90791667,177.4529167,487.56875,564.9066667,36.77958333,15.225,62.25,0,0,0.958333333,0,1.041666667,1.041666667,6.4625,10.4875,189.5833333,190.5416667,15.18333333,47
Beijing,4/9/2022,116.4074,39.9042,21516000,5,1319.845833,16.94041667,75.57125,75.66375,66.45916667,403.99,445.40125,13.03583333,17.35416667,63.29166667,0,0,8,0.666666667,0,24.79166667,8.225,13.2375,199.875,213.8333333,16.28333333,47
Beijing,4/10/2022,116.4074,39.9042,21516000,5,2740.939167,101.2445833,158.4825,49.76833333,146.05125,597.0758333,687.27125,31.85416667,18.30833333,67.875,0,0,22.04166667,0,10.41666667,52.375,5.754166667,7.858333333,142.3333333,195.75,12.6,47
Beijing,4/11/2022,116.4074,39.9042,21516000,3.916666667,587.4625,8.319583333,36.76458333,71.7,33.16958333,124.46375,183.8108333,17.67458333,18.49166667,26.58333333,0.004166667,0.004166667,57.66666667,0.125,45.95833333,99.83333333,13.875,25.17083333,110.4583333,107.0833333,29.98333333,47
